article_id,article_link,headline,summary,source,timestamp (ET),market_id,market_link,market_title,market_description,market_event,settlement_rules,expiration_time,settlement_time
cnn-pambundifired,https://www.cnn.com/2026/04/01/politics/pam-bondi-trump-discussed-ousting,"Trump has discussed ousting Attorney General Pam Bondi, sources say","Trump privately mused about firing AG Pam Bondi and replacing her with EPA chief Lee Zeldin
Frustration stemmed from her handling of Epstein files and failure to prosecute political opponents
No decision made; Trump told CNN he had confidence in her the same day",CNN,4/1/261919,kxbondiout,https://kalshi.com/markets/kxbondiout/pam-bondi-out-as-attorney-general/kxbondiout,"Will Pam Bondi leaves as Attorney General before Apr 3, 2026?","Before Apr 3, 2026",When will Pam Bondi depart as Attorney General?,"If Pam Bondi leaves as Attorney General before Apr 3, 2026, then the market resolves to Yes.",2026-04-10T14:00:00Z,2026-04-10T14:30:00Z
,https://www.nytimes.com/2026/04/01/us/politics/trump-pam-bondi-future.html,Trump Has Discussed Firing Attorney General Pam Bondi,,NYT,2026-04-01T18:24:29-04:00 ,,,,,,,,
wsj-anthropicsecurityrisk,https://www.wsj.com/politics/national-security/anthropic-claude-defense-department-update-b17544d9,Anthropic Refuses Pentagon’s Proposal to Loosen AI Guardrails,"Axios/WSJ reported the Defense Department was examining whether Anthropic posed a supply chain security risk
Concern centered on Anthropic's ties to foreign investors and its AI models being used in sensitive government contexts
Story triggered a Kalshi market on whether Pentagon would formally designate Anthropic a risk",WSJ,2/26/262251,kxanthropicrisk,https://kalshi.com/markets/kxanthropicrisk/will-the-pentagon-designate-anthropic-a-supply-chain-risk/kxanthropicrisk,"Will the Department of Defense announce that Anthropic is a supply chain risk before Apr 1, 2026?","Before Apr 1, 2026",Will the Pentagon designate Anthropic a supply chain risk?,"If the Department of Defense announces that Anthropic is a supply chain risk before Apr 1, 2026, then the market resolves to Yes.",2026-04-09T00:00:00Z,2026-04-09T00:30:00Z
sfchron-swalwelldropout,https://www.sfchronicle.com/politics/article/eric-swalwell-allegations-22198271.php,"Ex-staffer says Eric Swalwell, candidate for California governor, sexually assaulted her","SF Chronicle published bombshell allegations of sexual assault against Rep. Eric Swalwell
Story immediately tanked his California governor's race odds on Kalshi from ~67% to ~17%
Swalwell denied the allegations",San Francisco Chronicle,4/10/26546,kxdropoutprimary,https://kalshi.com/markets/kxdropoutprimary/which-primary-candidates-will-drop-out/kxdropoutprimary-26?sortMarkets=alphabetical-asc,"Will Ken Paxton drop out of the Texas Senate runoff before May 26, 2026?",Ken Paxton,Who will drop out of their primary?,"If Ken Paxton drops out of the 2026 Texas Senate runoff before May 26, 2026, then the market resolves to Yes.",2026-06-02T14:00:00Z,2026-06-02T14:30:00Z
guardian-samaltmanreturns,https://www.theguardian.com/technology/2023/nov/19/openai-investors-push-for-return-of-ousted-ceo-sam-altman-chatgpt,Ousted OpenAI CEO Sam Altman ‘in talks to return at firm’s HQ’,"Major OpenAI investors including Microsoft pushed the board to reinstate Sam Altman as CEO after his surprise firing
Board faced ultimatum: bring Altman back or face mass employee resignations
Negotiations were underway; Altman had not yet agreed to return",Guardian,11/19/23531,kxopenaiceo,https://kalshi.com/markets/kxopenaiceo/openai-new-ceo/openaiceo-24-sa,Will Sam Altman be the next permanent CEO of OpenAI?,Sam Altman,OpenAI new CEO by December 2024?,"Interim, acting, or temporary CEOs do not qualify. If there are multiple CEOs, then both persons would satisfy the Payout Criterion. It is sufficient if an announcement is made that person will become CEO of OpenAI, including after date.",2025-01-01T15:00:00Z,2025-01-01T15:30:00Z
npr-kristinoemfired,https://www.npr.org/2026/03/05/nx-s1-5667546/kristi-noem-homeland-security-fired,"Trump fires Kristi Noem as DHS chief, names Sen. Markwayne Mullin to replace her","Trump announced he was replacing DHS Secretary Kristi Noem with Sen. Markwayne Mullin
Firing followed disastrous Senate and House testimony over Minneapolis ICE shootings and a $220M self-promotional ad campaign
Noem was reassigned to a new ""Shield of the Americas"" envoy role",NPR,3/5/26220,kxnoemout,https://kalshi.com/markets/kxnoemout/kristi-noem-out-as-dhs-secretary/kxnoemout,Will Kristi Noem leaves the Trump administration in after Issuance and before Apr 1?,"Before Apr 1, 2026",Kristi Noem out as DHS Secretary?,"If Kristi Noem leaves as Secretary of Homeland Security before Apr 1, 2026, then the market resolves to Yes.",2026-04-08T14:00:00Z,2026-04-08T14:30:00Z
guardian-lindayaccarinostepsdown,https://www.theguardian.com/technology/2025/jul/09/x-ceo-steps-down-linda-yaccarino,Linda Yaccarino stepping down as CEO of Elon Musk’s X,"X CEO Linda Yaccarino stepped down after roughly two years in the role
Departure came amid reported tensions with Elon Musk over advertising strategy and platform direction
Kalshi's kxxceochange market hit 99% YES within hours",Guardian,7/9/251056,kxxceochange,https://kalshi.com/markets/kxxceochange/linda-yaccarino-leaves-x/kxxceochange,Will X get a new CEO by a given date?,"Before Dec 31, 2025",Linda Yaccarino replaced as X CEO in 2025?, ,2026-01-01T15:00:00Z,2026-01-01T15:30:00Z
nytimes-upennpresidentresigns,https://www.nytimes.com/2023/12/09/us/university-of-pennsylvania-president-resigns.html,Penn’s Leadership Resigns Amid Controversies Over Antisemitism,"UPenn president Liz Magill resigned following intense congressional and donor backlash
Criticism focused on her congressional testimony where she gave an equivocal answer about campus antisemitism
Her resignation came days after the hearing, making her the first of several university presidents to fall",NY Times,12/9/231641,kxunipresident,https://kalshi.com/markets/kxunipresident/university-presidents-ousted/unipresident-24dec31-penn,Will Penn leave her position as univeristy president?,Penn,MIT's President leaves in 2024?,It is sufficient for the announcement to have been made even if the transition proper has not occurred by date to be encompassed within the Payout Criterion.,2025-01-01T15:00:00Z,2025-01-01T15:30:00Z
nytimes-harvardpresidentresigns,https://www.nytimes.com/2024/01/02/us/harvard-claudine-gay-resigns.html,Harvard President Resigns After Mounting Plagiarism Accusations,"Harvard president Claudine Gay resigned amid dual controversies: plagiarism accusations and her congressional testimony on antisemitism
She became the shortest-serving Harvard president in the university's history
Her exit followed Magill's resignation at UPenn weeks earlier",NY Times,1/2/241321,kxunipresident,https://kalshi.com/markets/kxunipresident/university-presidents-ousted/unipresident-24dec31-harvard,Will Harvard leave her position as university president?,Harvard,MIT's President leaves in 2024?,It is sufficient for the announcement to have been made even if the transition proper has not occurred by date to be encompassed within the Payout Criterion.,2025-01-01T15:00:00Z,2025-01-01T15:30:00Z
guardian-firstnueralink,https://www.theguardian.com/technology/2024/jan/29/elon-musk-neuralink-first-human-brain-chip-implant,Elon Musk says Neuralink has implanted its first brain chip in human,"Elon Musk announced via X that Neuralink had implanted its brain-computer interface in a human patient for the first time
Patient was ""recovering well"" with ""promising neuron spike detection,"" Musk said
The device, named Telepathy, is designed to let paralyzed patients control computers by thought",Guardian,1/29/24195,kxneuralink,https://kalshi.com/markets/kxneuralink/neuralink-implanted-into-a-living-human/neuralink-24jun30,"WIll Neuralink be implanted into a living human by Jun 30, 2024?",Before July,Neuralink implanted into a living human?, ,2024-07-01T14:00:00Z,2024-07-01T14:30:00Z
nytimes-powellfire,https://www.nytimes.com/2026/04/15/business/trump-powell-fed-fire.html,Harvard President Resigns After Mounting Plagiarism Accusations,"Trump threatened in a Fox Business interview to fire Fed Chair Jerome Powell if he doesn't leave before his term expires May 15
Also vowed to fire Powell if he stays on as a Fed Governor after his chair term ends
Senate Banking Committee scheduled hearings on Trump's nominee Kevin Warsh as Powell's replacement",NY Times,4/15/26832,kxtryfirepowell,https://kalshi.com/markets/kxtryfirepowell/try-to-fire-powell/kxtryfirepowell-26may12,"Will the President try to fire the Jerome Powell as either Chair of the Board of Governors of the Federal Reserve System or Member of the Board of Governors of the Federal Reserve System before Jun 1, 2026?","Before Jun 1, 2026",Will Trump try to fire Powell as Fed Chair or Governor?,"If the President of the United States has tried to fire Jerome Powell as either Chair of the Board of Governors of the Federal Reserve System or Member of the Board of Governors of the Federal Reserve System before Jun 1, 2026, then the market resolves to Yes.",2026-06-01T14:00:00Z,2026-06-01T14:30:00Z
nytimes-metalayoffs,https://www.nytimes.com/2023/03/14/technology/meta-facebook-layoffs.html,"Meta to Lay Off Another 10,000 Workers","Reuters reported Meta was planning sweeping layoffs affecting 20%+ of its ~79,000-person workforce
Cuts aimed at offsetting surging AI infrastructure costs; no date or final headcount finalized
Meta called it ""speculative reporting about theoretical approaches""; stock rose ~3% on the news",NY Times,3/14/26932,kxmetaheadcount,https://kalshi.com/markets/kxmetaheadcount/meta-headcount/kxmetaheadcount-26jul,"Will Meta Platforms, Inc. report above 81000 Headcount in Q1 2026?",above 81000,Meta headcount in Q1?,"If Meta Platforms, Inc. reports above 81000 Headcount in Q1 2026, then the market resolves to Yes.",2026-07-31T14:00:00Z,2026-07-31T14:30:00Z
,https://www.cnn.com/2026/04/10/us/eric-swalwell-sexual-misconduct-allegations-invs ,Exclusive: Four women describe sexual misconduct by Rep. Eric Swalwell,,CNN,"Apr 10, 2026, 9:25 PM ET",,https://kalshi.com/markets/kxdropoutprimary/which-primary-candidates-will-drop-out/kxdropoutprimary-26,"Will Ken Paxton drop out of the Texas Senate runoff before May 26, 2026?",Ken Paxton,Who will drop out of their primary?,"If Ken Paxton drops out of the 2026 Texas Senate runoff before May 26, 2026, then the market resolves to Yes.",2026-06-02T14:00:00Z,2026-06-02T14:30:00Z